x,y
76,164
825,1662
199,410
873,1758
281,574
720,1452
755,1522
585,1182
72,156
768,1548
364,740
181,374
213,438
75,162
44,100
933,1878
609,1230
736,1484
889,1790
571,1154
954,1920
556,1124
153,318
499,1010
113,238
320,652
568,1148
605,1222
342,696
871,1754
762,1536
205,422
300,612
780,1572
734,1480
175,362
608,1228
572,1156
280,572
754,1520
806,1624
405,822
351,714
461,934
220,452
229,470
155,322
866,1744
205,422
204,420
398,808
441,894
555,1122
107,226
378,768
276,564
677,1366
16,44
607,1226
52,116
349,710
444,900
777,1566
655,1322
200,412
684,1380
271,554
583,1178
546,1104
600,1212
678,1368
467,946
252,516
27,66
765,1542
514,1040
859,1730
833,1678
275,562
338,688
