x_noise,y_noise
422,920
10,-93
755,1446
418,886
852,1579
230,510
704,1487
345,583
363,647
307,518
756,1557
777,1546
825,1736
167,342
504,1165
88,189
24,52
293,650
766,1685
727,1579
967,2089
988,2074
966,2011
926,1784
836,1663
824,1574
215,543
645,1340
204,494
271,519
730,1607
470,867
989,1882
288,577
603,1149
138,387
384,774
963,1890
825,1803
289,504
650,1423
685,1408
390,931
925,1880
644,1163
21,9
498,911
487,1077
125,231
38,117
588,1326
798,1709
865,1854
453,970
705,1331
606,1167
864,1875
256,568
278,635
400,837
446,1002
224,430
195,373
287,649
783,1670
834,1763
65,26
830,1801
704,1290
38,201
321,584
719,1424
535,962
121,144
818,1644
440,770
279,672
356,647
915,1762
519,975
